Request Year:,2019
Test:,187
Test Description:,
TestRegime Name:,FirstCell dQdV C/25
TestRegime Suffix:,HWL
TestRegime CellSize:,Default cellsize
TestRegime Version:,1
Project Group Name:,Immediate
Project Group Description:,Immediate
Project Group Memo:,
Project Group Storage Environment:,R.T./AMB
Project Group Test Environment:,R.T./AMB
Number Of Cells:,1
Parameter names:,
Parameter values:,
Variable names:
LotID:,
Lot Description:,
Date Made:,1/21/2003 0:00
Origin:,Other
Requestor:,Admin
Product ID:,Default product
Storage Temp:,R.T./AMB
Storage Delay:,0 days
Test Temp:,R.T./AMB
Start Time:,02/22/2019 16:21:35
End Time:,1/1/0001 0:00
Operator Instructions:,Also connect cell temp to channel TC-K and ambient temp to NTC
#RESULTS CHECK
ReqYear,Test,CellNr,Type,Value,Reason,
2019,187,1,1,3272,3,
#END RESULTS CHECK
Test,Cell,Rack,Shelf,Position,Cell ID,Step,Cycle,Total Time (Seconds),Load On Time (Seconds),Step Time (Seconds),Cycle Charge Time (Seconds),Cycle Discharge Time (Seconds),Real Time,Position Start Time,Voltage (mV),Current (mA),Charge Capacity (mAh),Discharge Capacity (mAh),Charge Capacity (mWh),Discharge Capacity (mWh),ReasonCode,50% DoD (mV),PeakPower 1 (W),PeakPower 2 (W),Open Circuit Voltage 1 (V),Open Circuit Voltage 2 (V),Internal Resistance 1 (mOhm),Internal Resistance 2 (mOhm),Ambient temperature (°C),Cell surface temperature (°C),DC Internal Resistance (mOhm),AC Internal Resistance (mOhm),Station Temperature (°C),
187,1,SBT0550,001,1,,8,1,75210.183,73380,47840.617,47840,0,02/23/2019 13:16:56,02/22/2019 16:23:26,3331.5946,1639.9,21793.294,0,71187.004,0,30,0,0,0,0,0,0,0,26.1,25.5,,,,
187,1,SBT0550,001,1,,8,1,75230.183,73400,47860.617,47860,0,02/23/2019 13:17:16,02/22/2019 16:23:26,3331.931,1640.2,21802.405,0,71217.36,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75250.183,73420,47880.617,47880,0,02/23/2019 13:17:36,02/22/2019 16:23:26,3331.968,1640.2,21811.516,0,71247.717,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75270.183,73440,47900.617,47900,0,02/23/2019 13:17:56,02/22/2019 16:23:26,3332.0068,1640.1,21820.626,0,71278.074,0,30,0,0,0,0,0,0,0,26.1,25.5,,,,
187,1,SBT0550,001,1,,8,1,75290.183,73460,47920.617,47920,0,02/23/2019 13:18:16,02/22/2019 16:23:26,3331.879,1639.8,21829.737,0,71308.431,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75310.183,73480,47940.617,47940,0,02/23/2019 13:18:36,02/22/2019 16:23:26,3331.9192,1639.9,21838.848,0,71338.788,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75330.183,73500,47960.617,47960,0,02/23/2019 13:18:56,02/22/2019 16:23:26,3331.961,1640,21847.959,0,71369.146,0,30,0,0,0,0,0,0,0,26.1,25.5,,,,
187,1,SBT0550,001,1,,8,1,75350.183,73520,47980.617,47980,0,02/23/2019 13:19:16,02/22/2019 16:23:26,3331.652,1640.1,21857.069,0,71399.503,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75370.183,73540,48000.617,48000,0,02/23/2019 13:19:36,02/22/2019 16:23:26,3331.932,1639.6,21866.18,0,71429.86,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75390.183,73560,48020.617,48020,0,02/23/2019 13:19:56,02/22/2019 16:23:26,3331.8646,1639.6,21875.291,0,71460.218,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,75410.183,73580,48040.617,48040,0,02/23/2019 13:20:16,02/22/2019 16:23:26,3332.1978,1639.8,21884.402,0,71490.575,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75430.183,73600,48060.617,48060,0,02/23/2019 13:20:36,02/22/2019 16:23:26,3332.0726,1639.9,21893.513,0,71520.933,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75450.183,73620,48080.617,48080,0,02/23/2019 13:20:56,02/22/2019 16:23:26,3332.1294,1640.1,21902.624,0,71551.291,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,75470.183,73640,48100.617,48100,0,02/23/2019 13:21:16,02/22/2019 16:23:26,3332.2902,1639.8,21911.734,0,71581.649,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75490.183,73660,48120.617,48120,0,02/23/2019 13:21:36,02/22/2019 16:23:26,3332.1286,1640.1,21920.845,0,71612.007,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75510.183,73680,48140.617,48140,0,02/23/2019 13:21:56,02/22/2019 16:23:26,3332.0832,1639.9,21929.956,0,71642.365,0,30,0,0,0,0,0,0,0,26.12,25.5,,,,
187,1,SBT0550,001,1,,8,1,75530.183,73700,48160.617,48160,0,02/23/2019 13:22:16,02/22/2019 16:23:26,3332.118,1640.1,21939.067,0,71672.723,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75550.183,73720,48180.617,48180,0,02/23/2019 13:22:36,02/22/2019 16:23:26,3332.2478,1639.9,21948.177,0,71703.082,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75570.183,73740,48200.617,48200,0,02/23/2019 13:22:56,02/22/2019 16:23:26,3332.2182,1640,21957.288,0,71733.442,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,75590.183,73760,48220.617,48220,0,02/23/2019 13:23:16,02/22/2019 16:23:26,3332.3466,1640,21966.399,0,71763.802,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75610.183,73780,48240.617,48240,0,02/23/2019 13:23:36,02/22/2019 16:23:26,3332.0632,1639.9,21975.51,0,71794.161,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75630.183,73800,48260.617,48260,0,02/23/2019 13:23:56,02/22/2019 16:23:26,3332.3456,1640.1,21984.621,0,71824.52,0,30,0,0,0,0,0,0,0,26.1,25.5,,,,
187,1,SBT0550,001,1,,8,1,75650.183,73820,48280.617,48280,0,02/23/2019 13:24:16,02/22/2019 16:23:26,3332.2594,1640.1,21993.731,0,71854.878,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75670.183,73840,48300.617,48300,0,02/23/2019 13:24:36,02/22/2019 16:23:26,3332.1866,1639.9,22002.842,0,71885.237,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75690.183,73860,48320.617,48320,0,02/23/2019 13:24:56,02/22/2019 16:23:26,3332.2242,1639.9,22011.953,0,71915.595,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,75710.183,73880,48340.617,48340,0,02/23/2019 13:25:16,02/22/2019 16:23:26,3332.1972,1639.9,22021.064,0,71945.953,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75730.183,73900,48360.617,48360,0,02/23/2019 13:25:36,02/22/2019 16:23:26,3332.1084,1639.9,22030.174,0,71976.311,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75750.183,73920,48380.617,48380,0,02/23/2019 13:25:56,02/22/2019 16:23:26,3332.2102,1639.7,22039.285,0,72006.67,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,75770.183,73940,48400.617,48400,0,02/23/2019 13:26:16,02/22/2019 16:23:26,3332.3424,1640,22048.396,0,72037.029,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75790.183,73960,48420.617,48420,0,02/23/2019 13:26:36,02/22/2019 16:23:26,3332.2356,1639.8,22057.507,0,72067.389,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75810.183,73980,48440.617,48440,0,02/23/2019 13:26:56,02/22/2019 16:23:26,3332.3564,1639.8,22066.618,0,72097.749,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,75830.183,74000,48460.617,48460,0,02/23/2019 13:27:16,02/22/2019 16:23:26,3332.5494,1640,22075.728,0,72128.109,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75850.183,74020,48480.617,48480,0,02/23/2019 13:27:36,02/22/2019 16:23:26,3332.3156,1640,22084.839,0,72158.471,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75870.183,74040,48500.617,48500,0,02/23/2019 13:27:56,02/22/2019 16:23:26,3332.4106,1639.9,22093.95,0,72188.832,0,30,0,0,0,0,0,0,0,26.11,25.6,,,,
187,1,SBT0550,001,1,,8,1,75890.183,74060,48520.617,48520,0,02/23/2019 13:28:16,02/22/2019 16:23:26,3332.2194,1639.8,22103.061,0,72219.192,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75910.183,74080,48540.617,48540,0,02/23/2019 13:28:36,02/22/2019 16:23:26,3332.2802,1640,22112.171,0,72249.552,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75930.183,74100,48560.617,48560,0,02/23/2019 13:28:56,02/22/2019 16:23:26,3332.41,1640.2,22121.282,0,72279.912,0,30,0,0,0,0,0,0,0,26.12,25.5,,,,
187,1,SBT0550,001,1,,8,1,75950.183,74120,48580.617,48580,0,02/23/2019 13:29:16,02/22/2019 16:23:26,3332.3618,1639.8,22130.393,0,72310.272,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75970.183,74140,48600.617,48600,0,02/23/2019 13:29:36,02/22/2019 16:23:26,3332.3172,1639.7,22139.504,0,72340.633,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,75990.183,74160,48620.617,48620,0,02/23/2019 13:29:56,02/22/2019 16:23:26,3332.639,1640,22148.614,0,72370.994,0,30,0,0,0,0,0,0,0,26.11,25.6,,,,
187,1,SBT0550,001,1,,8,1,76010.183,74180,48640.617,48640,0,02/23/2019 13:30:16,02/22/2019 16:23:26,3332.4102,1640,22157.725,0,72401.355,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76030.183,74200,48660.617,48660,0,02/23/2019 13:30:36,02/22/2019 16:23:26,3332.4052,1640,22166.836,0,72431.716,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76050.183,74220,48680.617,48680,0,02/23/2019 13:30:56,02/22/2019 16:23:26,3332.2938,1640,22175.947,0,72462.077,0,30,0,0,0,0,0,0,0,26.11,25.6,,,,
187,1,SBT0550,001,1,,8,1,76070.183,74240,48700.617,48700,0,02/23/2019 13:31:16,02/22/2019 16:23:26,3332.304,1640,22185.057,0,72492.439,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76090.183,74260,48720.617,48720,0,02/23/2019 13:31:36,02/22/2019 16:23:26,3332.3436,1639.8,22194.168,0,72522.8,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76110.183,74280,48740.617,48740,0,02/23/2019 13:31:56,02/22/2019 16:23:26,3332.54,1640.1,22203.279,0,72553.161,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,76130.183,74300,48760.617,48760,0,02/23/2019 13:32:16,02/22/2019 16:23:26,3332.1912,1639.9,22212.39,0,72583.521,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76150.183,74320,48780.617,48780,0,02/23/2019 13:32:36,02/22/2019 16:23:26,3332.4038,1639.8,22221.5,0,72613.882,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76170.183,74340,48800.617,48800,0,02/23/2019 13:32:56,02/22/2019 16:23:26,3332.3972,1640.1,22230.611,0,72644.242,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,76190.183,74360,48820.617,48820,0,02/23/2019 13:33:16,02/22/2019 16:23:26,3332.4012,1640,22239.722,0,72674.603,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76210.183,74380,48840.617,48840,0,02/23/2019 13:33:36,02/22/2019 16:23:26,3332.3776,1639.8,22248.833,0,72704.963,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76230.183,74400,48860.617,48860,0,02/23/2019 13:33:56,02/22/2019 16:23:26,3332.3708,1639.9,22257.944,0,72735.324,0,30,0,0,0,0,0,0,0,26.1,25.5,,,,
187,1,SBT0550,001,1,,8,1,76250.183,74420,48880.617,48880,0,02/23/2019 13:34:16,02/22/2019 16:23:26,3332.5966,1639.9,22267.054,0,72765.686,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76270.183,74440,48900.617,48900,0,02/23/2019 13:34:36,02/22/2019 16:23:26,3332.289,1640.2,22276.165,0,72796.048,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76290.183,74460,48920.617,48920,0,02/23/2019 13:34:56,02/22/2019 16:23:26,3332.4892,1639.6,22285.276,0,72826.409,0,30,0,0,0,0,0,0,0,26.12,25.5,,,,
187,1,SBT0550,001,1,,8,1,76310.183,74480,48940.617,48940,0,02/23/2019 13:35:16,02/22/2019 16:23:26,3332.4738,1640,22294.387,0,72856.77,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76330.183,74500,48960.617,48960,0,02/23/2019 13:35:36,02/22/2019 16:23:26,3332.2866,1640,22303.498,0,72887.131,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76350.183,74520,48980.617,48980,0,02/23/2019 13:35:56,02/22/2019 16:23:26,3332.6344,1640,22312.608,0,72917.494,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,76370.183,74540,49000.617,49000,0,02/23/2019 13:36:16,02/22/2019 16:23:26,3332.4898,1640,22321.719,0,72947.856,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76390.183,74560,49020.617,49020,0,02/23/2019 13:36:36,02/22/2019 16:23:26,3332.602,1639.8,22330.83,0,72978.218,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76410.183,74580,49040.617,49040,0,02/23/2019 13:36:56,02/22/2019 16:23:26,3332.5902,1639.9,22339.941,0,73008.58,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,76430.183,74600,49060.617,49060,0,02/23/2019 13:37:16,02/22/2019 16:23:26,3332.3544,1639.9,22349.051,0,73038.942,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76450.183,74620,49080.617,49080,0,02/23/2019 13:37:36,02/22/2019 16:23:26,3332.5838,1639.9,22358.162,0,73069.305,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76470.183,74640,49100.617,49100,0,02/23/2019 13:37:56,02/22/2019 16:23:26,3332.6306,1639.9,22367.273,0,73099.667,0,30,0,0,0,0,0,0,0,26.13,25.5,,,,
187,1,SBT0550,001,1,,8,1,76490.183,74660,49120.617,49120,0,02/23/2019 13:38:16,02/22/2019 16:23:26,3332.4758,1639.9,22376.384,0,73130.029,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76510.183,74680,49140.617,49140,0,02/23/2019 13:38:36,02/22/2019 16:23:26,3332.3956,1640,22385.494,0,73160.391,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76530.183,74700,49160.617,49160,0,02/23/2019 13:38:56,02/22/2019 16:23:26,3332.5234,1640.4,22394.605,0,73190.753,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,76550.183,74720,49180.617,49180,0,02/23/2019 13:39:16,02/22/2019 16:23:26,3332.4542,1639.8,22403.716,0,73221.115,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76570.183,74740,49200.617,49200,0,02/23/2019 13:39:36,02/22/2019 16:23:26,3332.6208,1640,22412.827,0,73251.478,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76590.183,74760,49220.617,49220,0,02/23/2019 13:39:56,02/22/2019 16:23:26,3332.6666,1639.9,22421.938,0,73281.841,0,30,0,0,0,0,0,0,0,26.11,25.6,,,,
187,1,SBT0550,001,1,,8,1,76610.183,74780,49240.617,49240,0,02/23/2019 13:40:16,02/22/2019 16:23:26,3332.6548,1639.8,22431.049,0,73312.204,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76630.183,74800,49260.617,49260,0,02/23/2019 13:40:36,02/22/2019 16:23:26,3332.6362,1639.8,22440.159,0,73342.567,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76650.183,74820,49280.617,49280,0,02/23/2019 13:40:56,02/22/2019 16:23:26,3332.7012,1639.8,22449.27,0,73372.93,0,30,0,0,0,0,0,0,0,26.11,25.4,,,,
187,1,SBT0550,001,1,,8,1,76670.183,74840,49300.617,49300,0,02/23/2019 13:41:16,02/22/2019 16:23:26,3332.6922,1639.9,22458.381,0,73403.293,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76690.183,74860,49320.617,49320,0,02/23/2019 13:41:36,02/22/2019 16:23:26,3332.5724,1639.9,22467.492,0,73433.656,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76710.183,74880,49340.617,49340,0,02/23/2019 13:41:56,02/22/2019 16:23:26,3332.7732,1639.9,22476.602,0,73464.019,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,76730.183,74900,49360.617,49360,0,02/23/2019 13:42:16,02/22/2019 16:23:26,3332.8228,1640,22485.713,0,73494.383,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76750.183,74920,49380.617,49380,0,02/23/2019 13:42:36,02/22/2019 16:23:26,3332.695,1640,22494.824,0,73524.747,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76770.183,74940,49400.617,49400,0,02/23/2019 13:42:56,02/22/2019 16:23:26,3332.5744,1639.9,22503.935,0,73555.111,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,76790.183,74960,49420.617,49420,0,02/23/2019 13:43:16,02/22/2019 16:23:26,3332.6486,1640.1,22513.046,0,73585.474,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76810.183,74980,49440.617,49440,0,02/23/2019 13:43:36,02/22/2019 16:23:26,3332.6358,1639.8,22522.156,0,73615.838,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76830.183,75000,49460.617,49460,0,02/23/2019 13:43:56,02/22/2019 16:23:26,3332.6288,1639.8,22531.267,0,73646.202,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,76850.183,75020,49480.617,49480,0,02/23/2019 13:44:16,02/22/2019 16:23:26,3332.6242,1639.8,22540.378,0,73676.566,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76870.183,75040,49500.617,49500,0,02/23/2019 13:44:36,02/22/2019 16:23:26,3332.631,1640.1,22549.489,0,73706.929,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76890.183,75060,49520.617,49520,0,02/23/2019 13:44:56,02/22/2019 16:23:26,3332.6078,1639.7,22558.599,0,73737.293,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,76910.183,75080,49540.617,49540,0,02/23/2019 13:45:16,02/22/2019 16:23:26,3332.587,1639.8,22567.71,0,73767.657,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76930.183,75100,49560.617,49560,0,02/23/2019 13:45:36,02/22/2019 16:23:26,3332.8684,1639.8,22576.821,0,73798.021,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76950.183,75120,49580.617,49580,0,02/23/2019 13:45:56,02/22/2019 16:23:26,3332.9336,1640.2,22585.932,0,73828.385,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,76970.183,75140,49600.617,49600,0,02/23/2019 13:46:16,02/22/2019 16:23:26,3332.6054,1640.1,22595.042,0,73858.748,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,76990.183,75160,49620.617,49620,0,02/23/2019 13:46:36,02/22/2019 16:23:26,3332.5676,1639.9,22604.153,0,73889.111,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,77010.183,75180,49640.617,49640,0,02/23/2019 13:46:56,02/22/2019 16:23:26,3332.4906,1640,22613.264,0,73919.474,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,77030.183,75200,49660.617,49660,0,02/23/2019 13:47:16,02/22/2019 16:23:26,3332.8128,1639.9,22622.375,0,73949.837,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,77050.183,75220,49680.617,49680,0,02/23/2019 13:47:36,02/22/2019 16:23:26,3332.6628,1640,22631.485,0,73980.201,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,77070.183,75240,49700.617,49700,0,02/23/2019 13:47:56,02/22/2019 16:23:26,3332.8444,1640.1,22640.596,0,74010.565,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,77090.183,75260,49720.617,49720,0,02/23/2019 13:48:16,02/22/2019 16:23:26,3332.8748,1639.9,22649.707,0,74040.93,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,77110.183,75280,49740.617,49740,0,02/23/2019 13:48:36,02/22/2019 16:23:26,3332.8512,1639.9,22658.818,0,74071.295,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,77130.183,75300,49760.617,49760,0,02/23/2019 13:48:56,02/22/2019 16:23:26,3332.8236,1640.1,22667.928,0,74101.659,0,30,0,0,0,0,0,0,0,26.11,25.6,,,,
187,1,SBT0550,001,1,,8,1,77150.183,75320,49780.617,49780,0,02/23/2019 13:49:16,02/22/2019 16:23:26,3332.8818,1639.8,22677.039,0,74132.024,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,77170.183,75340,49800.617,49800,0,02/23/2019 13:49:36,02/22/2019 16:23:26,3333.012,1640.1,22686.15,0,74162.391,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,77190.183,75360,49820.617,49820,0,02/23/2019 13:49:56,02/22/2019 16:23:26,3332.8336,1639.9,22695.261,0,74192.757,0,30,0,0,0,0,0,0,0,26.1,25.6,,,,
187,1,SBT0550,001,1,,8,1,77210.183,75380,49840.617,49840,0,02/23/2019 13:50:16,02/22/2019 16:23:26,3333.0264,1640.1,22704.371,0,74223.122,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,77230.183,75400,49860.617,49860,0,02/23/2019 13:50:36,02/22/2019 16:23:26,3332.8114,1640,22713.482,0,74253.487,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,77250.183,75420,49880.617,49880,0,02/23/2019 13:50:56,02/22/2019 16:23:26,3332.8488,1639.9,22722.593,0,74283.852,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,77270.183,75440,49900.617,49900,0,02/23/2019 13:51:16,02/22/2019 16:23:26,3332.9628,1639.8,22731.704,0,74314.217,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,77290.183,75460,49920.617,49920,0,02/23/2019 13:51:36,02/22/2019 16:23:26,3332.8912,1640.1,22740.814,0,74344.583,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,77310.183,75480,49940.617,49940,0,02/23/2019 13:51:56,02/22/2019 16:23:26,3332.8594,1639.8,22749.925,0,74374.948,0,30,0,0,0,0,0,0,0,26.13,25.5,,,,
187,1,SBT0550,001,1,,8,1,77330.183,75500,49960.617,49960,0,02/23/2019 13:52:16,02/22/2019 16:23:26,3333.0204,1640.2,22759.036,0,74405.313,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,77350.183,75520,49980.617,49980,0,02/23/2019 13:52:36,02/22/2019 16:23:26,3332.9556,1639.9,22768.147,0,74435.679,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,77370.183,75540,50000.617,50000,0,02/23/2019 13:52:56,02/22/2019 16:23:26,3333.0536,1640.1,22777.257,0,74466.045,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,77390.183,75560,50020.617,50020,0,02/23/2019 13:53:16,02/22/2019 16:23:26,3332.9744,1640.1,22786.368,0,74496.412,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,77410.183,75580,50040.617,50040,0,02/23/2019 13:53:36,02/22/2019 16:23:26,3332.8954,1639.9,22795.479,0,74526.778,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,77430.183,75600,50060.617,50060,0,02/23/2019 13:53:56,02/22/2019 16:23:26,3333.1644,1639.9,22804.59,0,74557.144,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,77450.183,75620,50080.617,50080,0,02/23/2019 13:54:16,02/22/2019 16:23:26,3333.0746,1639.8,22813.7,0,74587.511,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,77470.183,75640,50100.617,50100,0,02/23/2019 13:54:36,02/22/2019 16:23:26,3333.1622,1639.8,22822.811,0,74617.877,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,77490.183,75660,50120.617,50120,0,02/23/2019 13:54:56,02/22/2019 16:23:26,3333.2888,1639.9,22831.922,0,74648.243,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
187,1,SBT0550,001,1,,8,1,77510.183,75680,50140.617,50140,0,02/23/2019 13:55:16,02/22/2019 16:23:26,3332.9758,1639.8,22841.033,0,74678.609,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,77530.183,75700,50160.617,50160,0,02/23/2019 13:55:36,02/22/2019 16:23:26,3333.134,1639.9,22850.143,0,74708.976,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,1,77550.183,75720,50180.617,50180,0,02/23/2019 13:55:56,02/22/2019 16:23:26,3333.2498,1640.1,22859.254,0,74739.343,0,30,0,0,0,0,0,0,0,26.11,25.5,,,,
